#  log L/Lo      log Teff      B_V          V_R          V_K          R_I          J_H          H_K          V_I          U_V          BC(V)        dmag_v      log age(yr)
   0.4744971    4.9982087   -0.3476855   -0.1467594   -1.0463302   -0.2061679   -0.1509423   -0.1323567   -0.3529273   -1.6666609   -6.8272494   10.3929608    5.2172664
   0.4249590    4.9862467   -0.3470272   -0.1463734   -1.0440514   -0.2056406   -0.1505904   -0.1320918   -0.3520140   -1.6642420   -6.7328146   10.4223713    5.2494456
   0.3759416    4.9744014   -0.3463967   -0.1460036   -1.0418492   -0.2051299   -0.1502500   -0.1318376   -0.3511335   -1.6618382   -6.6391304   10.4512305    5.2819134
   0.3277604    4.9627509   -0.3457934   -0.1456473   -1.0397077   -0.2046323   -0.1499186   -0.1315922   -0.3502796   -1.6594619   -6.5468025   10.4793556    5.3147087
   0.2799984    4.9511934   -0.3451758   -0.1452864   -1.0375641   -0.2041302   -0.1495900   -0.1313518   -0.3494167   -1.6570368   -6.4551764   10.5071345    5.3479168
   0.2325693    4.9396949   -0.3445748   -0.1449331   -1.0354481   -0.2036333   -0.1492654   -0.1311169   -0.3485664   -1.6546031   -6.3638984   10.5344293    5.3816286
   0.1858510    4.9283594   -0.3439684   -0.1445797   -1.0333511   -0.2031371   -0.1489465   -0.1308891   -0.3477168   -1.6521442   -6.2738649   10.5611916    5.4160146
   0.1401103    4.9172610   -0.3433783   -0.1442355   -1.0313036   -0.2026503   -0.1486359   -0.1306702   -0.3468858   -1.6497005   -6.1856525   10.5873309    5.4511372
   0.0952724    4.9063680   -0.3427883   -0.1438940   -1.0292875   -0.2021675   -0.1483324   -0.1304596   -0.3460615   -1.6472470   -6.0990407   10.6128139    5.4871808
   0.0512896    4.8956846   -0.3422185   -0.1435623   -1.0273169   -0.2016939   -0.1480358   -0.1302569   -0.3452562   -1.6448108   -6.0140546   10.6377848    5.5243301
   0.0081296    4.8851926   -0.3416466   -0.1432323   -1.0253732   -0.2012230   -0.1477458   -0.1300621   -0.3444552   -1.6423607   -5.9305864   10.6622165    5.5628124
  -0.0343056    4.8748701   -0.3410798   -0.1429062   -1.0234589   -0.2007562   -0.1474618   -0.1298748   -0.3436624   -1.6399032   -5.8484611   10.6861792    5.6029037
  -0.0757845    4.8647782   -0.3405210   -0.1425858   -1.0215838   -0.2002958   -0.1471852   -0.1296959   -0.3428816   -1.6374518   -5.7681870   10.7096024    5.6449417
  -0.1164086    4.8548904   -0.3399687   -0.1422702   -1.0197432   -0.1998407   -0.1469153   -0.1295251   -0.3421109   -1.6350016   -5.6895555   10.7325312    5.6893272
  -0.1562548    4.8451889   -0.3394217   -0.1419585   -1.0179324   -0.1993899   -0.1466514   -0.1293619   -0.3413483   -1.6325474   -5.6124451   10.7550363    5.7365846
  -0.1949632    4.8357652   -0.3388876   -0.1416543   -1.0161671   -0.1989475   -0.1463954   -0.1292072   -0.3406018   -1.6301168   -5.5375871   10.7769493    5.7874157
  -0.2327452    4.8265694   -0.3383576   -0.1413542   -1.0144387   -0.1985107   -0.1461469   -0.1290611   -0.3398650   -1.6276904   -5.4646015   10.7984186    5.8426863
  -0.2691737    4.8177092   -0.3378412   -0.1410629   -1.0127675   -0.1980852   -0.1459084   -0.1289247   -0.3391481   -1.6253033   -5.3943409   10.8192293    5.9035298
  -0.3041723    4.8091951   -0.3373391   -0.1407804   -1.0111545   -0.1976713   -0.1456797   -0.1287979   -0.3384517   -1.6229601   -5.3268994   10.8392843    5.9713873
  -0.3376118    4.8010749   -0.3368543   -0.1405084   -1.0096085   -0.1972716   -0.1454621   -0.1286809   -0.3377800   -1.6206777   -5.2626584   10.8586420    6.0480884
  -0.3693939    4.7933717   -0.3363887   -0.1402479   -1.0081344   -0.1968876   -0.1452562   -0.1285738   -0.3371355   -1.6184673   -5.2017970   10.8772359    6.1359019
