#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 3.202260  5.584237  2.285499  7.766472  0.000000  0.000000  0.000  0.000    2.292122246896022  1.09840 -33.00000   3.7435019 -30.5574863    8.5684907   0.0090155   0.000000      -0.000000    
 3.190357  5.581343  2.285496  7.766467  0.000000  0.000000  0.000  0.000    2.292122246919730  1.09840 -33.00000   3.7434942 -30.5574866    8.5688173   0.0090121   0.000000      -0.000000    
 3.178509  5.578465  2.285499  7.766474  0.000000  0.000000  0.000  0.000    2.292122246948181  1.09840 -33.00000   3.7435043 -30.5574867    8.5691520   0.0090087   0.000000      -0.000000    
 3.167351  5.575755  2.285495  7.766468  0.000000  0.000000  0.000  0.000    2.292122246980497  1.09840 -33.00000   3.7434955 -30.5574867    8.5694703   0.0090054   0.000000      -0.000000    
 3.156337  5.573083  2.285499  7.766476  0.000000  0.000000  0.000  0.000    2.292122247019277  1.09840 -33.00000   3.7435067 -30.5574868    8.5697943   0.0090020   0.000000      -0.000000    
 3.145996  5.570574  2.285494  7.766469  0.000000  0.000000  0.000  0.000    2.292122247063330  1.09840 -33.00000   3.7434940 -30.5574867    8.5701016   0.0089988   0.000000      -0.000000    
 3.135792  5.568102  2.285498  7.766477  0.000000  0.000000  0.000  0.000    2.292122247116192  1.09840 -33.00000   3.7435056 -30.5574865    8.5704158   0.0089956   0.000000      -0.000000    
 3.126196  5.565777  2.285493  7.766471  0.000000  0.000000  0.000  0.000    2.292122247176243  1.09840 -33.00000   3.7434923 -30.5574863    8.5707144   0.0089925   0.000000      -0.000000    
 3.116699  5.563480  2.285496  7.766478  0.000000  0.000000  0.000  0.000    2.292122247248303  1.09840 -33.00000   3.7435002 -30.5574868    8.5710203   0.0089893   0.000000      -0.000000    
 3.107741  5.561313  2.285491  7.766472  0.000000  0.000000  0.000  0.000    2.292122247330159  1.09840 -33.00000   3.7434858 -30.5574867    8.5713124   0.0089863   0.000000      -0.000000    
 3.098851  5.559166  2.285493  7.766480  0.000000  0.000000  0.000  0.000    2.292122247428385  1.09840 -33.00000   3.7434936 -30.5574444    8.5716129   0.0089832   0.000000      -0.000000    
 3.090443  5.557136  2.285488  7.766473  0.000000  0.000000  0.000  0.000    2.292122247539965  1.09840 -33.00000   3.7434768 -30.5574442    8.5719001   0.0089802   0.000000      -0.000000    
 3.082075  5.555118  2.285490  7.766481  0.000000  0.000000  0.000  0.000    2.292122247673862  1.09840 -33.00000   3.7434823 -30.5574442    8.5721964   0.0089771   0.000000      -0.000000    
 3.074163  5.553211  2.285484  7.766474  0.000000  0.000000  0.000  0.000    2.292122247825962  1.09840 -33.00000   3.7434644 -30.5574440    8.5724801   0.0089742   0.000000      -0.000000    
 3.066297  5.551317  2.285485  7.766482  0.000000  0.000000  0.000  0.000    2.292122248008481  1.09840 -33.00000   3.7434671 -30.5574435    8.5727726   0.0089712   0.000000      -0.000000    
 3.058867  5.549530  2.285479  7.766476  0.000000  0.000000  0.000  0.000    2.292122248215814  1.09840 -33.00000   3.7434466 -30.5574439    8.5730526   0.0089683   0.000000      -0.000000    
 3.051500  5.547760  2.285479  7.766484  0.000000  0.000000  0.000  0.000    2.292122248464613  1.09840 -33.00000   3.7434457 -30.5574438    8.5733412   0.0089653   0.000000      -0.000000    
 3.044564  5.546095  2.285472  7.766478  0.000000  0.000000  0.000  0.000    2.292122248747238  1.09840 -33.00000   3.7434208 -30.5574434    8.5736174   0.0089625   0.000000      -0.000000    
 3.037702  5.544451  2.285472  7.766486  0.000000  0.000000  0.000  0.000    2.292122249086388  1.09840 -33.00000   3.7434162 -30.5574431    8.5739024   0.0089595   0.000000      -0.000000    
 3.031261  5.542909  2.285463  7.766481  0.000000  0.000000  0.000  0.000    2.292122249471656  1.09840 -33.00000   3.7433860 -30.5574431    8.5741753   0.0089567   0.000000      -0.000000    
 3.024917  5.541393  2.285461  7.766490  0.000000  0.000000  0.000  0.000    2.292122249933978  1.09840 -33.00000   3.7433754 -30.5574428    8.5744576   0.0089538   0.000000      -0.000000    
 3.018956  5.539971  2.285451  7.766484  0.000000  0.000000  0.000  0.000    2.292122250459179  1.09840 -33.00000   3.7433383 -30.5574428    8.5747289   0.0089510   0.000000      -0.000000    
 3.013085  5.538574  2.285448  7.766494  0.000000  0.000000  0.000  0.000    2.292122251089419  1.09840 -33.00000   3.7433195 -30.5574434    8.5750113   0.0089481   0.000000      -0.000000    
 3.007567  5.537263  2.285435  7.766489  0.000000  0.000000  0.000  0.000    2.292122251805394  1.09840 -33.00000   3.7432728 -30.5574442    8.5752848   0.0089453   0.000000      -0.000000    
 3.002104  5.535969  2.285429  7.766499  0.000000  0.000000  0.000  0.000    2.292122252664564  1.09840 -33.00000   3.7432423 -30.5574432    8.5755727   0.0089423   0.000000      -0.000000    
 2.996920  5.534744  2.285413  7.766496  0.000000  0.000000  0.000  0.000    2.292122253640640  1.09840 -33.00000   3.7431832 -30.5574424    8.5758559   0.0089394   0.000000      -0.000000    
 2.991708  5.533517  2.285404  7.766507  0.000000  0.000000  0.000  0.000    2.292122254811931  1.09840 -33.00000   3.7431372 -30.5574425    8.5761593   0.0089363   0.000000      -0.000000    
 2.986656  5.532330  2.285384  7.766504  0.000000  0.000000  0.000  0.000    2.292122256142659  1.09840 -33.00000   3.7430606 -30.5574425    8.5764645   0.0089331   0.000000      -0.000000    
 2.981428  5.531107  2.285370  7.766517  0.000000  0.000000  0.000  0.000    2.292122257739531  1.09840 -33.00000   3.7429934 -30.5574408    8.5767991   0.0089297   0.000000      -0.000000    
 2.976188  5.529883  2.285345  7.766516  0.000000  0.000000  0.000  0.000    2.292122259553881  1.09840 -33.00000   3.7428924 -30.5574408    8.5771444   0.0089261   0.000000      -0.000000    
 2.970563  5.528573  2.285324  7.766530  0.000000  0.000000  0.000  0.000    2.292122261731100  1.09840 -33.00000   3.7427985 -30.5574356    8.5775315   0.0089222   0.000000      -0.000000    
 2.964725  5.527216  2.285291  7.766531  0.000000  0.000000  0.000  0.000    2.292122264205041  1.09840 -33.00000   3.7426652 -29.0119155    8.5779396   0.0089180   0.000000      -0.000000    
 2.958261  5.525716  2.285261  7.766548  0.000000  0.000000  0.000  0.000    2.292122267173771  1.09840 -33.00000   3.7425301 -25.1990033    8.5784031   0.0089132   0.000000      -0.000000    
 2.951416  5.524128  2.285218  7.766553  0.000000  0.000000  0.000  0.000    2.292122270547482  1.09840 -33.00000   3.7423520 -24.5312482    8.5788961   0.0089082   0.000000      -0.000000    
 2.943748  5.522351  2.285175  7.766573  0.000000  0.000000  0.000  0.000    2.292122274595935  1.09840 -33.00000   3.7421634 -24.5124512    8.5794569   0.0089024   0.000000      -0.000000    
 2.935590  5.520460  2.285118  7.766581  0.000000  0.000000  0.000  0.000    2.292122279197382  1.09840 -33.00000   3.7419244 -24.2758790    8.5800529   0.0088963   0.000000      -0.000000    
 2.926468  5.518348  2.285058  7.766607  0.000000  0.000000  0.000  0.000    2.292122284719118  1.09840 -33.00000   3.7416630 -23.9965476    8.5807258   0.0088894   0.000000      -0.000000    
 2.916830  5.516116  2.284981  7.766620  0.000000  0.000000  0.000  0.000    2.292122290996427  1.09840 -33.00000   3.7413413 -23.8146282    8.5814358   0.0088822   0.000000      -0.000000    
 2.906169  5.513649  2.284899  7.766652  0.000000  0.000000  0.000  0.000    2.292122298529196  1.09840 -33.00000   3.7409804 -23.8930684    8.5822283   0.0088741   0.000000      -0.000000    
 2.895027  5.511071  2.284795  7.766673  0.000000  0.000000  0.000  0.000    2.292122307095185  1.09840 -33.00000   3.7405457 -23.7320192    8.5830563   0.0088656   0.000000      -0.000000    
 2.882831  5.508250  2.284680  7.766713  0.000000  0.000000  0.000  0.000    2.292122317374372  1.09840 -33.00000   3.7400493 -23.7101309    8.5839697   0.0088563   0.000000      -0.000000    
 2.870232  5.505337  2.284540  7.766744  0.000000  0.000000  0.000  0.000    2.292122329068043  1.09840 -33.00000   3.7394603 -23.5241408    8.5849150   0.0088466   0.000000      -0.000000    
 2.856593  5.502185  2.284382  7.766797  0.000000  0.000000  0.000  0.000    2.292122343100447  1.09840 -33.00000   3.7387790 -23.4011006    8.5859468   0.0088361   0.000000      -0.000000    
 2.842626  5.498958  2.284192  7.766841  0.000000  0.000000  0.000  0.000    2.292122359072190  1.09840 -33.00000   3.7379796 -23.3803402    8.5870053   0.0088254   0.000000      -0.000000    
 2.827667  5.495504  2.283975  7.766909  0.000000  0.000000  0.000  0.000    2.292122378238280  1.09840 -33.00000   3.7370467 -23.2231974    8.5881494   0.0088138   0.000000      -0.000000    
 2.812478  5.491998  2.283718  7.766972  0.000000  0.000000  0.000  0.000    2.292122400068793  1.09840 -33.00000   3.7359627 -23.1486101    8.5893135   0.0088020   0.000000      -0.000000    
 2.796375  5.488283  2.283420  7.767062  0.000000  0.000000  0.000  0.000    2.292122426265407  1.09840 -33.00000   3.7346871 -23.0271172    8.5905593   0.0087893   0.000000      -0.000000    
 2.780191  5.484552  2.283072  7.767149  0.000000  0.000000  0.000  0.000    2.292122456132511  1.09840 -33.00000   3.7332111 -22.9841820    8.5918157   0.0087766   0.000000      -0.000000    
 2.763235  5.480645  2.282667  7.767268  0.000000  0.000000  0.000  0.000    2.292122491973034  1.09840 -33.00000   3.7314695 -22.9730203    8.5931457   0.0087632   0.000000      -0.000000    
 2.746416  5.476772  2.282196  7.767388  0.000000  0.000000  0.000  0.000    2.292122532888247  1.09840 -33.00000   3.7294628 -22.8849001    8.5944741   0.0087498   0.000000      -0.000000    
 2.729095  5.472789  2.281646  7.767546  0.000000  0.000000  0.000  0.000    2.292122581986498  1.09840 -33.00000   3.7270888 -22.8210824    8.5958628   0.0087358   0.000000      -0.000000    
 2.712187  5.468905  2.281011  7.767710  0.000000  0.000000  0.000  0.000    2.292122638134608  1.09840 -33.00000   3.7243635 -22.7378313    8.5972354   0.0087220   0.000000      -0.000000    
 2.695139  5.464998  2.280267  7.767921  0.000000  0.000000  0.000  0.000    2.292122705512330  1.09840 -33.00000   3.7211332 -22.6904054    8.5986531   0.0087078   0.000000      -0.000000    
 2.678812  5.461263  2.279413  7.768145  0.000000  0.000000  0.000  0.000    2.292122782745832  1.09840 -33.00000   3.7174311 -22.6314737    8.6000428   0.0086939   0.000000      -0.000000    
 2.662709  5.457594  2.278413  7.768426  0.000000  0.000000  0.000  0.000    2.292122875426015  1.09840 -33.00000   3.7130443 -22.6019568    8.6014672   0.0086797   0.000000      -0.000000    
 2.647576  5.454159  2.277271  7.768730  0.000000  0.000000  0.000  0.000    2.292122981998100  1.09840 -33.00000   3.7080195 -22.5394393    8.6028623   0.0086657   0.000000      -0.000000    
 2.632918  5.450853  2.275935  7.769104  0.000000  0.000000  0.000  0.000    2.292123109884568  1.09840 -33.00000   3.7020813 -22.4938652    8.6042944   0.0086515   0.000000      -0.000000    
 2.619259  5.447793  2.274417  7.769515  0.000000  0.000000  0.000  0.000    2.292123257560050  1.09840 -33.00000   3.6952775 -22.4869163    8.6057142   0.0086373   0.000000      -0.000000    
 2.606067  5.444866  2.272648  7.770013  0.000000  0.000000  0.000  0.000    2.292123434770563  1.09840 -33.00000   3.6872563 -22.4734880    8.6071960   0.0086226   0.000000      -0.000000    
 2.593600  5.442126  2.270644  7.770564  0.000000  0.000000  0.000  0.000    2.292123640549498  1.09840 -33.00000   3.6780678 -22.4097245    8.6087074   0.0086076   0.000000      -0.000000    
 2.581281  5.439452  2.268325  7.771223  0.000000  0.000000  0.000  0.000    2.292123887484091  1.09840 -33.00000   3.6672768 -22.2405610    8.6103293   0.0085915   0.000000      -0.000000    
 2.569124  5.436842  2.265707  7.771958  0.000000  0.000000  0.000  0.000    2.292124176342613  1.09840 -33.00000   3.6549054 -22.1007960    8.6120458   0.0085746   0.000000      -0.000000    
 2.556533  5.434169  2.262705  7.772826  0.000000  0.000000  0.000  0.000    2.292124522972585  1.09840 -33.00000   3.6404613 -22.0266379    8.6139424   0.0085559   0.000000      -0.000000    
 2.543352  5.431393  2.259326  7.773798  0.000000  0.000000  0.000  0.000    2.292124932350030  1.09840 -33.00000   3.6238716 -21.9690741    8.6160202   0.0085354   0.000000      -0.000000    
 2.529041  5.428399  2.255499  7.774930  0.000000  0.000000  0.000  0.000    2.292125423602455  1.09840 -33.00000   3.6046545 -21.9038507    8.6183575   0.0085125   0.000000      -0.000000    
 2.513276  5.425113  2.251203  7.776202  0.000000  0.000000  0.000  0.000    2.292126010920394  1.09840 -33.00000   3.5825321 -21.7820925    8.6209781   0.0084869   0.000000      -0.000000    
 2.495671  5.421452  2.246410  7.777659  0.000000  0.000000  0.000  0.000    2.292126715700873  1.09840 -33.00000   3.5571563 -21.6620297    8.6239361   0.0084580   0.000000      -0.000000    
 2.475863  5.417330  2.241103  7.779283  0.000000  0.000000  0.000  0.000    2.292127561435937  1.09840 -33.00000   3.5281735 -21.5205143    8.6272589   0.0084257   0.000000      -0.000000    
 2.455752  5.413142  2.235843  7.780929  0.000000  0.000000  0.000  0.000    2.292128470446605  1.09840 -33.00000   3.4985903 -21.5340327    8.6306152   0.0083932   0.000000      -0.000000    
 2.435683  5.408952  2.230740  7.782532  0.000000  0.000000  0.000  0.000    2.292129424884035  1.09840 -33.00000   3.4690327 -21.4685614    8.6339253   0.0083613   0.000000      -0.000000    
 2.415629  5.404756  2.225790  7.784119  0.000000  0.000000  0.000  0.000    2.292130425949245  1.09840 -33.00000   3.4395597 -21.4542365    8.6371976   0.0083299   0.000000      -0.000000    
 2.395540  5.400543  2.220974  7.785664  0.000000  0.000000  0.000  0.000    2.292131476597303  1.09840 -33.00000   3.4101024 -21.4320335    8.6404318   0.0082989   0.000000      -0.000000    
 2.375416  5.396310  2.216290  7.787195  0.000000  0.000000  0.000  0.000    2.292132578330600  1.09840 -33.00000   3.3807167 -21.4151970    8.6436267   0.0082684   0.000000      -0.000000    
 2.355225  5.392051  2.211724  7.788685  0.000000  0.000000  0.000  0.000    2.292133734330967  1.09840 -33.00000   3.3513309 -21.4000156    8.6467821   0.0082384   0.000000      -0.000000    
 2.334984  5.387772  2.207273  7.790162  0.000000  0.000000  0.000  0.000    2.292134946316963  1.09840 -33.00000   3.3220013 -21.3873829    8.6499041   0.0082089   0.000000      -0.000000    
 2.314646  5.383457  2.202916  7.791584  0.000000  0.000000  0.000  0.000    2.292136217940462  1.09840 -33.00000   3.2926164 -21.3943500    8.6529829   0.0081798   0.000000      -0.000000    
 2.294245  5.379118  2.198659  7.792984  0.000000  0.000000  0.000  0.000    2.292137550411659  1.09840 -33.00000   3.2632696 -21.3386473    8.6560263   0.0081512   0.000000      -0.000000    
 2.273741  5.374743  2.194489  7.794339  0.000000  0.000000  0.000  0.000    2.292138948225840  1.09840 -33.00000   3.2338828 -21.3132986    8.6590332   0.0081231   0.000000      -0.000000    
 2.253145  5.370339  2.190407  7.795682  0.000000  0.000000  0.000  0.000    2.292140414000384  1.09840 -33.00000   3.2045104 -21.2986268    8.6620112   0.0080953   0.000000      -0.000000    
 2.232416  5.365893  2.186401  7.796986  0.000000  0.000000  0.000  0.000    2.292141952442537  1.09840 -33.00000   3.1750789 -21.2751614    8.6649566   0.0080679   0.000000      -0.000000    
 2.211569  5.361411  2.182472  7.798278  0.000000  0.000000  0.000  0.000    2.292143566204487  1.09840 -33.00000   3.1456399 -21.2488037    8.6678763   0.0080408   0.000000      -0.000000    
