#   log L/Lo     log Teff       B_V          V_R          V_K          R_I          J_H          H_K          V_I          U_V          BC(V)        dmag_v    log age (yr)
   0.7212627    4.9955325   -0.3475243   -0.1466676   -1.0457773   -0.2060432   -0.1508551   -0.1322861   -0.3527108   -1.6660876   -6.8066517    9.7554491    5.2291621
   0.6543775    4.9796784   -0.3466410   -0.1461506   -1.0427345   -0.2053375   -0.1503865   -0.1319349   -0.3514881   -1.6628488   -6.6814068    9.7974172    5.2789093
   0.5878185    4.9638668   -0.3458124   -0.1456631   -1.0398198   -0.2046601   -0.1499362   -0.1316009   -0.3503232   -1.6596296   -6.5560756    9.8384835    5.3272446
   0.5212766    4.9480087   -0.3449776   -0.1451733   -1.0368971   -0.2039761   -0.1494872   -0.1312728   -0.3491494   -1.6563221   -6.4302113    9.8789739    5.3744833
   0.4545685    4.9320742   -0.3441341   -0.1446801   -1.0339608   -0.2032837   -0.1490390   -0.1309506   -0.3479638   -1.6529147   -6.3035959    9.9191288    5.4208488
   0.3876282    4.9160607   -0.3432848   -0.1441844   -1.0310123   -0.2025833   -0.1485915   -0.1306348   -0.3467677   -1.6494054   -6.1762340    9.9591177    5.4666341
   0.3206876    4.9000226   -0.3424221   -0.1436840   -1.0280520   -0.2018735   -0.1481459   -0.1303272   -0.3455575   -1.6457862   -6.0486056    9.9988408    5.5120320
   0.2542278    4.8840674   -0.3415550   -0.1431833   -1.0251020   -0.2011596   -0.1477053   -0.1300305   -0.3443429   -1.6420800   -5.9216059   10.0379905    5.5571802
   0.1887148    4.8683135   -0.3406887   -0.1426855   -1.0221823   -0.2004459   -0.1472729   -0.1297474   -0.3431314   -1.6383088   -5.7962167   10.0763839    5.6022063
   0.1249689    4.8529637   -0.3398331   -0.1421962   -1.0193281   -0.1997409   -0.1468541   -0.1294817   -0.3419371   -1.6345176   -5.6741013   10.1136332    5.6472346
   0.0619465    4.8377735   -0.3389735   -0.1417071   -1.0164913   -0.1990322   -0.1464419   -0.1292295   -0.3407394   -1.6306423   -5.5533574   10.1504453    5.6924479
  -0.0002185    4.8227727   -0.3381095   -0.1412181   -1.0136735   -0.1983198   -0.1460369   -0.1289918   -0.3395379   -1.6266821   -5.4342775   10.1867779    5.7379824
  -0.0606528    4.8081715   -0.3372519   -0.1407350   -1.0109109   -0.1976125   -0.1456444   -0.1287723   -0.3383476   -1.6226875   -5.3185750   10.2221612    5.7840279
  -0.1193527    4.7939712   -0.3363991   -0.1402570   -1.0081985   -0.1969089   -0.1452639   -0.1285708   -0.3371659   -1.6186545   -5.2063164   10.2566523    5.8308038
  -0.1763136    4.7801713   -0.3355504   -0.1397833   -1.0055333   -0.1962079   -0.1448949   -0.1283875   -0.3359913   -1.6145812   -5.0975290   10.2902671    5.8785264
  -0.2314935    4.7668037   -0.3347081   -0.1393151   -1.0029215   -0.1955112   -0.1445383   -0.1282230   -0.3348263   -1.6104813   -4.9924576   10.3231454    5.9274992
  -0.2786543    4.7553701   -0.3339708   -0.1389066   -1.0006630   -0.1949005   -0.1442343   -0.1280937   -0.3338071   -1.6068473   -4.9028393   10.3514292    5.9715050
  -0.3305446    4.7427853   -0.3331391   -0.1384469   -0.9981443   -0.1942099   -0.1439002   -0.1279647   -0.3326569   -1.6026976   -4.8045208   10.3828364    6.0240261
  -0.3739374    4.7322527   -0.3324248   -0.1380529   -0.9960030   -0.1936148   -0.1436202   -0.1278680   -0.3316677   -1.5990916   -4.7225450   10.4093427    6.0708753
  -0.4225485    4.7204535   -0.3316016   -0.1375991   -0.9935567   -0.1929259   -0.1433048   -0.1277726   -0.3305250   -1.5948885   -4.6311300   10.4394554    6.1290837
  -0.4693434    4.7090937   -0.3307829   -0.1371479   -0.9911449   -0.1922371   -0.1429984   -0.1276948   -0.3293850   -1.5906592   -4.5436142   10.4689268    6.1916777
  -0.5142756    4.6981782   -0.3299697   -0.1366993   -0.9887664   -0.1915485   -0.1427007   -0.1276344   -0.3282478   -1.5864079   -4.4600439   10.4976871    6.2595442
  -0.5574526    4.6876948   -0.3291612   -0.1362527   -0.9864153   -0.1908587   -0.1424105   -0.1275910   -0.3271114   -1.5821319   -4.3803359   10.5259216    6.3338733
  -0.5991739    4.6775682   -0.3283521   -0.1358046   -0.9840709   -0.1901624   -0.1421247   -0.1275639   -0.3259670   -1.5778015   -4.3039271   10.5538160    6.4162724
  -0.6395252    4.6677766   -0.3275412   -0.1353538   -0.9817241   -0.1894572   -0.1418416   -0.1275527   -0.3248111   -1.5734073   -4.2306615   10.5814286    6.5083946
  -0.6785224    4.6583171   -0.3267285   -0.1348999   -0.9793707   -0.1887423   -0.1415604   -0.1275575   -0.3236422   -1.5689471   -4.1605268   10.6087869    6.6099205
  -0.7130007    4.6499556   -0.3259841   -0.1344818   -0.9772073   -0.1880792   -0.1413034   -0.1275751   -0.3225611   -1.5648090   -4.0991274   10.6335833    6.7066761
  -0.7450061    4.6421948   -0.3252699   -0.1340783   -0.9751200   -0.1874347   -0.1410562   -0.1276034   -0.3215130   -1.5607875   -4.0426899   10.6571593    6.7993565
  -0.7761168    4.6346494   -0.3245524   -0.1336700   -0.9730064   -0.1867780   -0.1408061   -0.1276430   -0.3204480   -1.5566933   -3.9883836   10.6806297    6.8887471
  -0.8074490    4.6270460   -0.3238050   -0.1332413   -0.9707809   -0.1860830   -0.1405422   -0.1276951   -0.3193243   -1.5523662   -3.9342772   10.7048538    6.9753857
  -0.8397436    4.6192046   -0.3230071   -0.1327792   -0.9683703   -0.1853274   -0.1402548   -0.1277623   -0.3181066   -1.5476696   -3.8791946   10.7305078    7.0595404
  -0.8734488    4.6110042   -0.3221415   -0.1322722   -0.9657040   -0.1844900   -0.1399338   -0.1278471   -0.3167622   -1.5424753   -3.8224562   10.7580323    7.1412332
  -0.9088343    4.6023936   -0.3211967   -0.1317110   -0.9627200   -0.1835521   -0.1395694   -0.1279530   -0.3152631   -1.5366746   -3.7639325   10.7879724    7.2203030
  -0.9460061    4.5933359   -0.3202038   -0.1311094   -0.9594293   -0.1825306   -0.1391531   -0.1280596   -0.3136400   -1.5303834   -3.7025776   10.8195470    7.2965099
  -0.9849358    4.5838410   -0.3190653   -0.1304075   -0.9555428   -0.1813220   -0.1386537   -0.1282057   -0.3117295   -1.5229587   -3.6412022   10.8554959    7.3696137
  -1.0255715    4.5739203   -0.3178241   -0.1296223   -0.9510593   -0.1799430   -0.1380564   -0.1283691   -0.3095653   -1.5145191   -3.5790637   10.8949466    7.4394307
  -1.0677182    4.5636215   -0.3164798   -0.1287449   -0.9458383   -0.1783657   -0.1373289   -0.1285355   -0.3071105   -1.5049041   -3.5169861   10.9382357    7.5058878
  -1.1109555    4.5530480   -0.3150416   -0.1277705   -0.9397293   -0.1765666   -0.1364327   -0.1286776   -0.3043370   -1.4939845   -3.4561293   10.9854722    7.5690263
  -1.1552960    4.5421915   -0.3135028   -0.1266824   -0.9324641   -0.1744992   -0.1353066   -0.1287482   -0.3011816   -1.4815032   -3.3969474   11.0371416    7.6289836
  -1.2002607    4.5311832   -0.3118676   -0.1254733   -0.9238111   -0.1721401   -0.1338914   -0.1286707   -0.2976134   -1.4673776   -3.3404706   11.0930765    7.6859760
  -1.2455636    4.5200765   -0.3100756   -0.1241041   -0.9133840   -0.1694437   -0.1321071   -0.1283098   -0.2935478   -1.4515600   -3.2867496   11.1526128    7.7402378
  -1.2911023    4.5089131   -0.3080928   -0.1225586   -0.9010697   -0.1664014   -0.1299334   -0.1276075   -0.2889600   -1.4341203   -3.2354085   11.2151184    7.7920045
  -1.3369566    4.4976613   -0.3057616   -0.1207609   -0.8865597   -0.1629732   -0.1273353   -0.1264291   -0.2837340   -1.4152904   -3.1849074   11.2792531    7.8415031
  -1.3832395    4.4862967   -0.3029506   -0.1186624   -0.8699242   -0.1591712   -0.1243618   -0.1247459   -0.2778336   -1.3954949   -3.1335097   11.3435626    7.8889607
  -1.4298937    4.4748371   -0.2996262   -0.1162776   -0.8516590   -0.1550785   -0.1211361   -0.1226406   -0.2713561   -1.3752642   -3.0799326   11.4066210    7.9346102
  -1.4768291    4.4632942   -0.2958541   -0.1136904   -0.8326651   -0.1508496   -0.1178438   -0.1202998   -0.2645401   -1.3551695   -3.0228982   11.4669251    7.9786654
  -1.5239626    4.4516992   -0.2918243   -0.1109825   -0.8131955   -0.1465249   -0.1145112   -0.1178062   -0.2575074   -1.3350192   -2.9637190   11.5255797    8.0213241
  -1.5712298    4.4400677   -0.2876377   -0.1082278   -0.7938070   -0.1421991   -0.1112390   -0.1152951   -0.2504269   -1.3150302   -2.9021220   11.5821506    8.0627549
  -1.6185192    4.4284225   -0.2833871   -0.1054726   -0.7747209   -0.1379066   -0.1080572   -0.1128406   -0.2433792   -1.2951767   -2.8385889   11.6368411    8.1031036
  -1.6658628    4.4167562   -0.2791183   -0.1027342   -0.7559813   -0.1336486   -0.1049656   -0.1104805   -0.2363828   -1.2753597   -2.7734362   11.6900474    8.1424951
  -1.7132787    4.4050715   -0.2748544   -0.1000184   -0.7375773   -0.1294182   -0.1019556   -0.1082347   -0.2294366   -1.2554974   -2.7069885   11.7421394    8.1810341
  -1.7607891    4.3933573   -0.2705980   -0.0973209   -0.7194437   -0.1251995   -0.0990106   -0.1061068   -0.2225204   -1.2354963   -2.6394305   11.7933574    8.2188133
  -1.8083789    4.3816156   -0.2663472   -0.0946364   -0.7015184   -0.1209797   -0.0961155   -0.1040940   -0.2156161   -1.2152969   -2.5709734   11.8438748    8.2559158
  -1.8560463    4.3698488   -0.2620953   -0.0919580   -0.6837350   -0.1167464   -0.0932556   -0.1021874   -0.2087044   -1.1948544   -2.5017874   11.8938573    8.2924175
  -1.9037872    4.3580612   -0.2578332   -0.0892783   -0.6660299   -0.1124885   -0.0904174   -0.1003756   -0.2017668   -1.1741397   -2.4320204   11.9434426    8.3283884
  -1.9516104    4.3462504   -0.2535481   -0.0865882   -0.6483341   -0.1081940   -0.0875877   -0.0986450   -0.1947822   -1.1531200   -2.3617611   11.9927413    8.3638884
