#   log L/Lo    log Teff       B_V          V_R          V_K          R_I          J_H          H_K          V_I          U_V          BC(V)        dmag_v     log age(yr)
   0.6710266    4.9991715   -0.3477247   -0.1467844   -1.0464704   -0.2062024   -0.1509628   -0.1323687   -0.3529868   -1.6668141   -6.8353705    9.9097582    5.2415741
   0.6060993    4.9836974   -0.3468592   -0.1462779   -1.0434918   -0.2055124   -0.1505038   -0.1320238   -0.3517903   -1.6636624   -6.7132098    9.9499157    5.2856170
   0.5409444    4.9681305   -0.3460439   -0.1457978   -1.0406199   -0.2048461   -0.1500594   -0.1316930   -0.3506439   -1.6605098   -6.5898944    9.9894876    5.3290949
   0.4755858    4.9524732   -0.3452171   -0.1453130   -1.0377295   -0.2041707   -0.1496151   -0.1313669   -0.3494837   -1.6572591   -6.4656976   10.0286873    5.3721724
   0.4100349    4.9367544   -0.3443945   -0.1448300   -1.0348406   -0.2034917   -0.1491724   -0.1310469   -0.3483217   -1.6539320   -6.3408337   10.0677006    5.4150079
   0.3445518    4.9210189   -0.3435523   -0.1443398   -1.0319344   -0.2028022   -0.1487314   -0.1307340   -0.3471419   -1.6504968   -6.2157447   10.1063193    5.4577790
   0.2797429    4.9054336   -0.3427205   -0.1438557   -1.0290619   -0.2021158   -0.1482975   -0.1304322   -0.3459715   -1.6470154   -6.0917465   10.1443434    5.5005843
   0.2161297    4.8901034   -0.3418902   -0.1433755   -1.0262285   -0.2014323   -0.1478731   -0.1301438   -0.3448079   -1.6434895   -5.9697429   10.1813728    5.5435365
   0.1540634    4.8751265   -0.3410707   -0.1429037   -1.0234558   -0.2007573   -0.1474612   -0.1298709   -0.3436610   -1.6399472   -5.8505359   10.2173315    5.5867325
   0.0923889    4.8602289   -0.3402455   -0.1424308   -1.0206901   -0.2000774   -0.1470536   -0.1296085   -0.3425082   -1.6363191   -5.7319936   10.2529755    5.6303217
   0.0320912    4.8456509   -0.3394268   -0.1419638   -1.0179738   -0.1994026   -0.1466570   -0.1293614   -0.3413665   -1.6326588   -5.6160694   10.2877956    5.6744866
  -0.0264983    4.8314721   -0.3386183   -0.1415049   -1.0153202   -0.1987361   -0.1462733   -0.1291309   -0.3402410   -1.6289859   -5.5034242   10.3216241    5.7194206
  -0.0833811    4.8176931   -0.3378205   -0.1410534   -1.0127222   -0.1980766   -0.1459011   -0.1289161   -0.3391300   -1.6252997   -5.3941176   10.3545245    5.7653492
  -0.1386796    4.8042836   -0.3370274   -0.1406075   -1.0101783   -0.1974226   -0.1455411   -0.1287180   -0.3380300   -1.6215888   -5.2879260   10.3865791    5.8125327
  -0.1861653    4.7927572   -0.3363321   -0.1402183   -1.0079749   -0.1968493   -0.1452329   -0.1285568   -0.3370676   -1.6182932   -5.1968361   10.4142035    5.8550885
  -0.2273217    4.7827656   -0.3357190   -0.1398754   -1.0060414   -0.1963417   -0.1449646   -0.1284226   -0.3362171   -1.6153499   -5.1180621   10.4383205    5.8938440
  -0.2779509    4.7704700   -0.3349473   -0.1394466   -1.0036480   -0.1957049   -0.1446372   -0.1282692   -0.3351515   -1.6116095   -5.0213575   10.4681889    5.9461755
  -0.3201656    4.7602166   -0.3342908   -0.1390826   -1.0016304   -0.1951617   -0.1443644   -0.1281499   -0.3342444   -1.6083878   -4.9409243   10.4932925    5.9928738
  -0.3679444    4.7486030   -0.3335309   -0.1386626   -0.9993207   -0.1945320   -0.1440562   -0.1280257   -0.3331946   -1.6046181   -4.8500699   10.5218850    6.0519797
  -0.4139221    4.7374270   -0.3327820   -0.1382492   -0.9970659   -0.1939093   -0.1437594   -0.1279175   -0.3321584   -1.6008583   -4.7629342   10.5496936    6.1160681
  -0.4579654    4.7267248   -0.3320460   -0.1378433   -0.9948696   -0.1932949   -0.1434742   -0.1278250   -0.3311382   -1.5971223   -4.6798215   10.5766892    6.1863362
  -0.5000740    4.7164977   -0.3313232   -0.1374450   -0.9927302   -0.1926888   -0.1432001   -0.1277475   -0.3301338   -1.5934140   -4.6007562   10.6028954    6.2642134
  -0.5405769    4.7066604   -0.3306077   -0.1370506   -0.9906273   -0.1920858   -0.1429342   -0.1276838   -0.3291364   -1.5897052   -4.5250923   10.6284887    6.3515490
  -0.5797320    4.6971592   -0.3298959   -0.1366580   -0.9885480   -0.1914825   -0.1426745   -0.1276334   -0.3281405   -1.5859779   -4.4524219   10.6537060    6.4503469
  -0.6147986    4.6886504   -0.3292399   -0.1362956   -0.9866402   -0.1909227   -0.1424390   -0.1275983   -0.3272183   -1.5825078   -4.3877193   10.6766699    6.5501704
  -0.6459687    4.6810981   -0.3286413   -0.1359643   -0.9849046   -0.1904086   -0.1422269   -0.1275756   -0.3263729   -1.5793125   -4.3306292   10.6975051    6.6454447
  -0.6751659    4.6740218   -0.3280658   -0.1356450   -0.9832386   -0.1899108   -0.1420249   -0.1275621   -0.3255558   -1.5762132   -4.2774484   10.7173173    6.7369668
  -0.7038336    4.6670717   -0.3274857   -0.1353222   -0.9815605   -0.1894052   -0.1418230   -0.1275568   -0.3247274   -1.5730618   -4.2255362   10.7370743    6.8254798
  -0.7329855    4.6600000   -0.3268793   -0.1349837   -0.9798044   -0.1888721   -0.1416130   -0.1275595   -0.3238558   -1.5697364   -4.1730752   10.7574931    6.9115222
  -0.7633101    4.6526365   -0.3262296   -0.1346193   -0.9779184   -0.1882953   -0.1413887   -0.1275720   -0.3229147   -1.5661367   -4.1188646   10.7790939    6.9953853
  -0.7952439    4.6448739   -0.3255232   -0.1342210   -0.9758582   -0.1876607   -0.1411445   -0.1275964   -0.3218816   -1.5621766   -4.0622197   10.8022836    7.0771078
  -0.8290426    4.6366531   -0.3247493   -0.1337816   -0.9735846   -0.1869555   -0.1408754   -0.1276354   -0.3207371   -1.5577796   -4.0028528   10.8274134    7.1565346
  -0.8647677    4.6279490   -0.3238991   -0.1332947   -0.9710586   -0.1861675   -0.1405761   -0.1276923   -0.3194622   -1.5528721   -3.9407686   10.8546419    7.2333939
  -0.9023984    4.6187735   -0.3229664   -0.1327547   -0.9682416   -0.1852846   -0.1402403   -0.1277704   -0.3180393   -1.5473850   -3.8762842   10.8842344    7.3073895
  -0.9418324    4.6091487   -0.3219450   -0.1321553   -0.9650857   -0.1842931   -0.1398597   -0.1278727   -0.3164484   -1.5412383   -3.8098380   10.9163731    7.3782922
  -0.9829501    4.5991019   -0.3208755   -0.1315152   -0.9616250   -0.1832170   -0.1394281   -0.1279789   -0.3147322   -1.5345988   -3.7407487   10.9500781    7.4459578
  -1.0255061    4.5886943   -0.3196568   -0.1307730   -0.9575718   -0.1819515   -0.1389160   -0.1281298   -0.3127245   -1.5268095   -3.6724374   10.9881568    7.5103573
