#   log L/Lo    log Teff       B_V          V_R          V_K          R_I          J_H          H_K          V_I          U_V          BC(V)        dmag_v      log age(yr)
   0.3343902    4.9877010   -0.3471559   -0.1464455   -1.0444469   -0.2057333   -0.1506493   -0.1321370   -0.3521788   -1.6646354   -6.7436792   10.6596578    5.3547286
   0.2783004    4.9740959   -0.3463987   -0.1460039   -1.0418496   -0.2051291   -0.1502503   -0.1318393   -0.3511330   -1.6618254   -6.6362416   10.6924447    5.3862738
   0.2231408    4.9606985   -0.3457060   -0.1455943   -1.0393849   -0.2045565   -0.1498687   -0.1315570   -0.3501507   -1.6590871   -6.5301076   10.7242098    5.4194509
   0.1750187    4.9490011   -0.3450778   -0.1452278   -1.0372104   -0.2040465   -0.1495358   -0.1313139   -0.3492743   -1.6566188   -6.4374003   10.7518077    5.4502724
   0.1327832    4.9387319   -0.3445449   -0.1449137   -1.0353239   -0.2036036   -0.1492461   -0.1311044   -0.3485173   -1.6544437   -6.3558970   10.7758932    5.4790507
   0.0954215    4.9296427   -0.3440489   -0.1446266   -1.0336316   -0.2032024   -0.1489897   -0.1309213   -0.3478290   -1.6524574   -6.2837518   10.7971522    5.5060400
   0.0621726    4.9215539   -0.3436254   -0.1443780   -1.0321433   -0.2028497   -0.1487629   -0.1307608   -0.3472277   -1.6506914   -6.2194824   10.8160050    5.5314497
   0.0199394    4.9112786   -0.3430762   -0.1440581   -1.0302434   -0.2023966   -0.1484755   -0.1305599   -0.3464547   -1.6484009   -6.1378217   10.8399273    5.5669771
  -0.0308675    4.8989085   -0.3424050   -0.1436696   -1.0279496   -0.2018455   -0.1481310   -0.1303231   -0.3455151   -1.6455810   -6.0394797   10.8686026    5.6153498
  -0.0879741    4.8850029   -0.3416483   -0.1432324   -1.0253722   -0.2012217   -0.1477459   -0.1300637   -0.3444542   -1.6423409   -5.9288920   10.9007814    5.6790978
  -0.1464219    4.8707747   -0.3408655   -0.1427823   -1.0227304   -0.2005767   -0.1473544   -0.1298065   -0.3433590   -1.6389364   -5.8157301   10.9337390    5.7583707
  -0.2010815    4.8574842   -0.3401252   -0.1423587   -1.0202569   -0.1999669   -0.1469908   -0.1295742   -0.3423257   -1.6356683   -5.7100539   10.9647118    5.8507964
  -0.2508979    4.8453900   -0.3394461   -0.1419709   -1.0179987   -0.1994055   -0.1466611   -0.1293695   -0.3413765   -1.6326182   -5.6139391   10.9931380    5.9605588
  -0.2935625    4.8350597   -0.3388562   -0.1416363   -1.0160642   -0.1989201   -0.1463813   -0.1292008   -0.3405563   -1.6299458   -5.5318979   11.0177583    6.0860375
  -0.3282879    4.8266907   -0.3383753   -0.1413636   -1.0144902   -0.1985225   -0.1461548   -0.1290676   -0.3398860   -1.6277372   -5.4654849   11.0381588    6.2173278
  -0.3562517    4.8199704   -0.3379833   -0.1411427   -1.0132242   -0.1982002   -0.1459741   -0.1289640   -0.3393429   -1.6259298   -5.4121947   11.0547781    6.3398778
  -0.3814509    4.8139297   -0.3376307   -0.1409432   -1.0120791   -0.1979078   -0.1458108   -0.1288721   -0.3388510   -1.6242832   -5.3643295   11.0699108    6.4556399
  -0.4066743    4.8078746   -0.3372721   -0.1407416   -1.0109293   -0.1976121   -0.1456482   -0.1287827   -0.3383537   -1.6226053   -5.3163904   11.0850302    6.5664968
  -0.4336454    4.8013873   -0.3368847   -0.1405241   -1.0096919   -0.1972921   -0.1454740   -0.1286891   -0.3378162   -1.6207790   -5.2650784   11.1011461    6.6738732
  -0.4634811    4.7941939   -0.3364487   -0.1402808   -1.0083184   -0.1969340   -0.1452824   -0.1285896   -0.3372148   -1.6187152   -5.2082483   11.1189051    6.7787070
  -0.4969387    4.7861074   -0.3359542   -0.1400043   -1.0067598   -0.1965254   -0.1450659   -0.1284805   -0.3365297   -1.6163485   -5.1444570   11.1387579    6.8814729
  -0.5344912    4.7770083   -0.3353890   -0.1396893   -1.0049927   -0.1960580   -0.1448226   -0.1283630   -0.3357473   -1.6136198   -5.0728116   11.1609937    6.9821787
  -0.5763582    4.7668446   -0.3347456   -0.1393315   -1.0029992   -0.1955255   -0.1445508   -0.1282388   -0.3348570   -1.6104831   -4.9929803   11.1858300    7.0804445
  -0.6224352    4.7556365   -0.3340196   -0.1389300   -1.0007828   -0.1949255   -0.1442530   -0.1281128   -0.3338555   -1.6069082   -4.9052056   11.2132478    7.1756444
  -0.6724628    4.7434475   -0.3332103   -0.1384825   -0.9983290   -0.1942532   -0.1439271   -0.1279864   -0.3327358   -1.6028725   -4.8100992   11.2432103    7.2671153
  -0.7260017    4.7303826   -0.3323181   -0.1379908   -0.9956609   -0.1935105   -0.1435789   -0.1278677   -0.3315013   -1.5983669   -4.7085639   11.2755223    7.3542884
  -0.7824721    4.7165852   -0.3313449   -0.1374549   -0.9927823   -0.1926960   -0.1432098   -0.1277616   -0.3301509   -1.5933845   -4.6018744   11.3100088    7.4368211
  -0.8412746    4.7022011   -0.3302904   -0.1368736   -0.9896885   -0.1918062   -0.1428198   -0.1276727   -0.3286798   -1.5879056   -4.4913969   11.3465376    7.5146582
  -0.9020022    4.6873271   -0.3291495   -0.1362436   -0.9863685   -0.1908341   -0.1424091   -0.1276080   -0.3270777   -1.5818842   -4.3781520   11.3851117    7.5880219
  -0.9642135    4.6720706   -0.3279176   -0.1355606   -0.9828014   -0.1897707   -0.1419757   -0.1275743   -0.3253313   -1.5752686   -4.2632732   11.4257611    7.6572994
  -1.0274343    4.6565530   -0.3265907   -0.1348199   -0.9789588   -0.1886052   -0.1415158   -0.1275787   -0.3234251   -1.5680003   -4.1480421   11.4685820    7.7229600
  -1.0912938    4.6408664   -0.3251624   -0.1340143   -0.9747911   -0.1873214   -0.1410216   -0.1276282   -0.3213357   -1.5599935   -4.0335613   11.5137500    7.7854851
  -1.1554209    4.6250975   -0.3236263   -0.1331349   -0.9702282   -0.1858990   -0.1404805   -0.1277287   -0.3190340   -1.5511378   -3.9209534   11.5614598    7.8453293
