#   log L/Lo    log Teff        B_V          V_R          V_K          R_I          J_H          H_K          V_I          U_V          BC(V)        dmag_v     log age (yr)
   0.2854578    5.0044092   -0.3480463   -0.1469713   -1.0476107   -0.2064593   -0.1511437   -0.1325131   -0.3534306   -1.6680014   -6.8747577   10.9130674    5.3512720
   0.2420410    4.9938527   -0.3474604   -0.1466289   -1.0455925   -0.2059933   -0.1508317   -0.1322771   -0.3526222   -1.6658710   -6.7916528   10.9385044    5.3755202
   0.1993082    4.9834565   -0.3469273   -0.1463123   -1.0436814   -0.2055534   -0.1505334   -0.1320524   -0.3518657   -1.6638159   -6.7094601   10.9631438    5.4014405
   0.1573410    4.9732383   -0.3463797   -0.1459915   -1.0417734   -0.2051106   -0.1502387   -0.1318324   -0.3511021   -1.6617274   -6.6287242   10.9873258    5.4292805
   0.1160987    4.9631972   -0.3458657   -0.1456865   -1.0399306   -0.2046831   -0.1499527   -0.1316205   -0.3503696   -1.6596830   -6.5492128   11.0109202    5.4593756
   0.0756932    4.9533598   -0.3453447   -0.1453808   -1.0381051   -0.2042565   -0.1496720   -0.1314145   -0.3496373   -1.6576250   -6.4713062   11.0340274    5.4921313
   0.0361165    4.9437248   -0.3448247   -0.1450777   -1.0363086   -0.2038340   -0.1493976   -0.1312153   -0.3489117   -1.6555679   -6.3949502   11.0566131    5.5280538
  -0.0025718    4.9343083   -0.3443310   -0.1447877   -1.0345719   -0.2034251   -0.1491317   -0.1310241   -0.3482128   -1.6535497   -6.3202414   11.0786251    5.5678143
  -0.0401351    4.9251726   -0.3438379   -0.1445010   -1.0328734   -0.2030222   -0.1488740   -0.1308408   -0.3475232   -1.6515451   -6.2477386   11.1000305    5.6122916
  -0.0764633    4.9163319   -0.3433673   -0.1442264   -1.0312389   -0.2026334   -0.1486261   -0.1306665   -0.3468599   -1.6495882   -6.1775228   11.1206352    5.6626823
  -0.1112943    4.9078737   -0.3429109   -0.1439615   -1.0296703   -0.2022582   -0.1483895   -0.1305021   -0.3462197   -1.6476827   -6.1103242   11.1405141    5.7206442
  -0.1444300    4.8998341   -0.3424752   -0.1437091   -1.0281791   -0.2018998   -0.1481655   -0.1303483   -0.3456090   -1.6458456   -6.0464311   11.1594602    5.7885153
  -0.1754135    4.8923422   -0.3420715   -0.1434750   -1.0267926   -0.2015655   -0.1479576   -0.1302072   -0.3450405   -1.6441154   -5.9868724   11.1773603    5.8696226
  -0.2042817    4.8853910   -0.3416906   -0.1432554   -1.0255010   -0.2012522   -0.1477651   -0.1300782   -0.3445076   -1.6424827   -5.9316123   11.1942707    5.9684502
  -0.2305369    4.8791095   -0.3413447   -0.1430565   -1.0243333   -0.2009678   -0.1475917   -0.1299633   -0.3440243   -1.6409892   -5.8816722   11.2099686    6.0841562
  -0.2538467    4.8735554   -0.3410374   -0.1428802   -1.0233003   -0.2007152   -0.1474389   -0.1298632   -0.3435954   -1.6396537   -5.8375148   11.2240857    6.2071646
  -0.2747195    4.8685999   -0.3407659   -0.1427238   -1.0223805   -0.2004899   -0.1473027   -0.1297749   -0.3432137   -1.6384549   -5.7981115   11.2368644    6.3228570
  -0.2955018    4.8636636   -0.3404912   -0.1425664   -1.0214605   -0.2002635   -0.1471673   -0.1296879   -0.3428299   -1.6372445   -5.7588751   11.2495838    6.4329840
  -0.3177219    4.8583735   -0.3401960   -0.1423974   -1.0204736   -0.2000198   -0.1470224   -0.1295959   -0.3424172   -1.6359347   -5.7168316   11.2630905    6.5391584
  -0.3424132    4.8524729   -0.3398654   -0.1422084   -1.0193711   -0.1997465   -0.1468610   -0.1294947   -0.3419549   -1.6344570   -5.6699471   11.2779343    6.6425369
  -0.3703238    4.8457802   -0.3394840   -0.1419919   -1.0181179   -0.1994340   -0.1466789   -0.1293824   -0.3414258   -1.6327537   -5.6167896   11.2945533    6.7438348
  -0.4020513    4.8381388   -0.3390493   -0.1417446   -1.0166846   -0.1990750   -0.1464711   -0.1292564   -0.3408196   -1.6307834   -5.5561197   11.3132021    6.8433726
  -0.4379756    4.8294642   -0.3385511   -0.1414619   -1.0150528   -0.1986636   -0.1462358   -0.1291169   -0.3401256   -1.6285056   -5.4872881   11.3341813    6.9411231
  -0.4783196    4.8196968   -0.3379811   -0.1411407   -1.0132110   -0.1981953   -0.1459727   -0.1289655   -0.3393359   -1.6258828   -5.4098528   11.3576060    7.0367749
  -0.5230827    4.8088333   -0.3373409   -0.1407801   -1.0111501   -0.1976669   -0.1456803   -0.1288028   -0.3384470   -1.6228949   -5.3238325   11.3834934    7.1297823
  -0.5719987    4.7969381   -0.3366278   -0.1403801   -1.0088784   -0.1970785   -0.1453611   -0.1286328   -0.3374586   -1.6195280   -5.2297955   11.4117464    7.2195085
  -0.6245351    4.7841389   -0.3358449   -0.1399427   -1.0064124   -0.1964320   -0.1450186   -0.1284600   -0.3363746   -1.6157837   -5.1288352   11.4421270    7.3053895
  -0.6801026    4.7705874   -0.3349960   -0.1394702   -1.0037713   -0.1957302   -0.1446567   -0.1282894   -0.3352004   -1.6116683   -5.0222483   11.4744589    7.3870620
  -0.7381125    4.7564123   -0.3340824   -0.1389637   -1.0009662   -0.1949737   -0.1442781   -0.1281258   -0.3339374   -1.6071775   -4.9111791   11.5084145    7.4643857
  -0.7979913    4.7417650   -0.3331078   -0.1384257   -0.9980208   -0.1941654   -0.1438878   -0.1279759   -0.3325911   -1.6023169   -4.7969303   11.5438627    7.5374583
  -0.8593024    4.7267533   -0.3320739   -0.1378555   -0.9949299   -0.1933030   -0.1434852   -0.1278419   -0.3311586   -1.5970819   -4.6804500   11.5806602    7.6065763
  -0.9218297    4.7114219   -0.3309778   -0.1372519   -0.9916981   -0.1923837   -0.1430731   -0.1277311   -0.3296357   -1.5914447   -4.5621917   11.6187201    7.6721450
  -0.9852858    4.6958456   -0.3298146   -0.1366105   -0.9882991   -0.1913990   -0.1426480   -0.1276459   -0.3280095   -1.5853652   -4.4429762   11.6581449    7.7346047
  -1.0493506    4.6801106   -0.3285794   -0.1359274   -0.9847145   -0.1903408   -0.1422083   -0.1275921   -0.3262682   -1.5787963   -4.3237537   11.6990843    7.7943883
  -1.1138328    4.6642530   -0.3272630   -0.1351954   -0.9809054   -0.1891954   -0.1417491   -0.1275758   -0.3243908   -1.5716610   -4.2051160   11.7416522    7.8519002
  -1.1783094    4.6483907   -0.3258629   -0.1344101   -0.9768393   -0.1879519   -0.1412652   -0.1276029   -0.3223620   -1.5639047   -4.0883089   11.7860365    7.9074829
  -1.2426912    4.6325394   -0.3243682   -0.1335609   -0.9724431   -0.1865885   -0.1407446   -0.1276790   -0.3201494   -1.5554087   -3.9738596   11.8325418    7.9614006
  -1.3084707    4.6162143   -0.3227152   -0.1326048   -0.9674564   -0.1850272   -0.1401499   -0.1278136   -0.3176320   -1.5457077   -3.8589088   11.8820397    8.0138646
  -1.3622179    4.6027876   -0.3212598   -0.1317442   -0.9628952   -0.1835949   -0.1395949   -0.1279685   -0.3153391   -1.5368462   -3.7670659   11.9245648    8.0638239
  -1.3989861    4.5933019   -0.3202193   -0.1311139   -0.9594468   -0.1825253   -0.1391584   -0.1280789   -0.3136391   -1.5302647   -3.7027760   11.9521954    8.0941984
  -1.4262970    4.5864207   -0.3193954   -0.1306067   -0.9566364   -0.1816553   -0.1387964   -0.1281758   -0.3122620   -1.5249406   -3.6581142   11.9758108    8.1225866
  -1.4567208    4.5787009   -0.3184468   -0.1300138   -0.9533152   -0.1806216   -0.1383638   -0.1283126   -0.3106355   -1.5185859   -3.6091326   12.0028888    8.1492325
  -1.4799927    4.5729474   -0.3177139   -0.1295456   -0.9506008   -0.1797953   -0.1379955   -0.1284005   -0.3093408   -1.5135550   -3.5734766   12.0254125    8.1743377
  -1.5063964    4.5663560   -0.3168542   -0.1289861   -0.9472801   -0.1787928   -0.1375336   -0.1285032   -0.3077789   -1.5074522   -3.5335950   12.0515402    8.1980706
  -1.5288328    4.5608342   -0.3161183   -0.1284976   -0.9443107   -0.1779033   -0.1371107   -0.1285925   -0.3064008   -1.5020384   -3.5010217   12.0750578    8.2205734
  -1.5527152    4.5549121   -0.3153093   -0.1279487   -0.9408605   -0.1768898   -0.1366030   -0.1286686   -0.3048385   -1.4958958   -3.4670015   12.1007437    8.2419675
  -1.5745350    4.5495559   -0.3145632   -0.1274313   -0.9375080   -0.1759191   -0.1360962   -0.1287261   -0.3033504   -1.4900203   -3.4370768   12.1253685    8.2623570
  -1.5935023    4.5448629   -0.3138860   -0.1269527   -0.9342969   -0.1750153   -0.1355952   -0.1287374   -0.3019680   -1.4846099   -3.4115085   12.1472184    8.2754369
  -1.6075279    4.5414306   -0.3133957   -0.1265995   -0.9318833   -0.1743336   -0.1352143   -0.1287573   -0.3009331   -1.4804835   -3.3932494   12.1640233    8.2881344
  -1.6225176    4.5377368   -0.3128521   -0.1262027   -0.9290972   -0.1735659   -0.1347647   -0.1287451   -0.2997686   -1.4758816   -3.3739751   12.1822233    8.3004711
  -1.6365493    4.5342703   -0.3123360   -0.1258203   -0.9263520   -0.1728184   -0.1343145   -0.1287197   -0.2986387   -1.4714051   -3.3562558   12.1995832    8.3124670
  -1.6504125    4.5308701   -0.3118199   -0.1254330   -0.9235096   -0.1720567   -0.1338411   -0.1286721   -0.2974897   -1.4668640   -3.3392082   12.2171936    8.3241405
  -1.6732046    4.5252443   -0.3109227   -0.1247533   -0.9184008   -0.1707242   -0.1329743   -0.1285149   -0.2954775   -1.4590323   -3.3116321   12.2465977    8.3410827
  -1.6840115    4.5225859   -0.3105023   -0.1244283   -0.9158968   -0.1700751   -0.1325429   -0.1284363   -0.2945034   -1.4551933   -3.2988802   12.2608631    8.3520211
  -1.6975824    4.5192368   -0.3099374   -0.1239935   -0.9125173   -0.1692199   -0.1319559   -0.1282830   -0.2932134   -1.4502322   -3.2830183   12.2789284    8.3626907
  -1.7100919    4.5161912   -0.3094229   -0.1235914   -0.9093301   -0.1684200   -0.1313966   -0.1281287   -0.2920114   -1.4455816   -3.2688769   12.2960608    8.3731045
  -1.7231029    4.5129677   -0.3088505   -0.1231456   -0.9057744   -0.1675424   -0.1307686   -0.1279242   -0.2906879   -1.4405510   -3.2540421   12.3137535    8.3832745
  -1.7442893    4.5077622   -0.3078804   -0.1223875   -0.8996626   -0.1660590   -0.1296808   -0.1275190   -0.2884464   -1.4321532   -3.2305109   12.3431883    8.3980963
