#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 3.417796  5.658954  2.384016  7.964330  0.000000  0.000000  0.000  0.000    2.292122250747567  1.15919 -33.00000   4.2918227 -39.9358472    8.6752132   0.0081908   0.000000      -0.000000    
 3.413547  5.657928  2.384020  7.964337  0.000000  0.000000  0.000  0.000    2.292122250752352  1.15919 -33.00000   4.2918276 -39.9358472    8.6753578   0.0081894   0.000000      -0.000000    
 3.408556  5.656719  2.384004  7.964307  0.000000  0.000000  0.000  0.000    2.292122250757787  1.15919 -33.00000   4.2917545 -39.9358472    8.6755128   0.0081880   0.000000      -0.000000    
 3.402403  5.655233  2.384017  7.964332  0.000000  0.000000  0.000  0.000    2.292122250764310  1.15919 -33.00000   4.2918112 -39.9358472    8.6757201   0.0081860   0.000000      -0.000000    
 3.395330  5.653517  2.384002  7.964304  0.000000  0.000000  0.000  0.000    2.292122250771726  1.15919 -33.00000   4.2917440 -39.9358472    8.6759300   0.0081840   0.000000      -0.000000    
 3.387048  5.651512  2.384018  7.964336  0.000000  0.000000  0.000  0.000    2.292122250780624  1.15919 -33.00000   4.2918179 -39.9358472    8.6761928   0.0081816   0.000000      -0.000000    
 3.378108  5.649341  2.384002  7.964305  0.000000  0.000000  0.000  0.000    2.292122250790743  1.15919 -33.00000   4.2917446 -39.9358472    8.6764478   0.0081792   0.000000      -0.000000    
 3.368295  5.646963  2.384019  7.964338  0.000000  0.000000  0.000  0.000    2.292122250802886  1.15919 -33.00000   4.2918195 -39.9358472    8.6767494   0.0081763   0.000000      -0.000000    
 3.358267  5.644527  2.384002  7.964306  0.000000  0.000000  0.000  0.000    2.292122250816695  1.15919 -33.00000   4.2917444 -39.9358472    8.6770327   0.0081736   0.000000      -0.000000    
 3.347764  5.641981  2.384019  7.964340  0.000000  0.000000  0.000  0.000    2.292122250833265  1.15919 -33.00000   4.2918203 -39.9358472    8.6773546   0.0081706   0.000000      -0.000000    
 3.337425  5.639470  2.384002  7.964308  0.000000  0.000000  0.000  0.000    2.292122250852109  1.15919 -33.00000   4.2917424 -39.9358472    8.6776497   0.0081678   0.000000      -0.000000    
 3.326922  5.636927  2.384019  7.964342  0.000000  0.000000  0.000  0.000    2.292122250874722  1.15919 -33.00000   4.2918207 -39.9358472    8.6779777   0.0081648   0.000000      -0.000000    
 3.316822  5.634476  2.384001  7.964309  0.000000  0.000000  0.000  0.000    2.292122250900439  1.15919 -33.00000   4.2917393 -39.9358472    8.6782727   0.0081620   0.000000      -0.000000    
 3.306753  5.632039  2.384017  7.964343  0.000000  0.000000  0.000  0.000    2.292122250931300  1.15919 -33.00000   4.2918131 -39.9358472    8.6785966   0.0081589   0.000000      -0.000000    
 3.297206  5.629725  2.384000  7.964312  0.000000  0.000000  0.000  0.000    2.292122250966396  1.15919 -33.00000   4.2917354 -39.9358472    8.6788863   0.0081562   0.000000      -0.000000    
 3.287791  5.627450  2.384015  7.964345  0.000000  0.000000  0.000  0.000    2.292122251008510  1.15919 -33.00000   4.2918052 -39.9358472    8.6792018   0.0081533   0.000000      -0.000000    
 3.278933  5.625306  2.383997  7.964314  0.000000  0.000000  0.000  0.000    2.292122251056403  1.15919 -33.00000   4.2917252 -39.9358472    8.6794824   0.0081506   0.000000      -0.000000    
 3.270245  5.623210  2.384012  7.964347  0.000000  0.000000  0.000  0.000    2.292122251113874  1.15919 -33.00000   4.2917928 -39.9358472    8.6797886   0.0081478   0.000000      -0.000000    
 3.262082  5.621237  2.383993  7.964315  0.000000  0.000000  0.000  0.000    2.292122251179230  1.15919 -33.00000   4.2917083 -39.9358472    8.6800602   0.0081452   0.000000      -0.000000    
 3.254096  5.619315  2.384007  7.964348  0.000000  0.000000  0.000  0.000    2.292122251257657  1.15919 -33.00000   4.2917736 -39.9358472    8.6803581   0.0081424   0.000000      -0.000000    
 3.246592  5.617505  2.383987  7.964317  0.000000  0.000000  0.000  0.000    2.292122251346846  1.15919 -33.00000   4.2916864 -39.9358472    8.6806227   0.0081399   0.000000      -0.000000    
 3.239239  5.615740  2.384000  7.964351  0.000000  0.000000  0.000  0.000    2.292122251453872  1.15919 -33.00000   4.2917475 -39.9358472    8.6809145   0.0081372   0.000000      -0.000000    
